cd,cycle,district_lines,dem_twoway
AL-01,2012,2012,0.37695332190745034
AL-01,2008,2012,0.3873239436619718
AL-02,2012,2012,0.36656596173212486
AL-02,2008,2012,0.35175879396984927
AL-03,2012,2012,0.3713420787083754
AL-03,2008,2012,0.3689516129032258
AL-04,2012,2012,0.24291497975708504
AL-04,2008,2012,0.25809716599190285
AL-05,2012,2012,0.3532388663967611
AL-05,2008,2012,0.3670374115267947
AL-06,2012,2012,0.2494949494949495
AL-06,2008,2012,0.2522704339051463
AL-07,2012,2012,0.7276381909547739
AL-07,2008,2012,0.7178714859437751
AR-01,2012,2012,0.37307297019527236
AR-01,2008,2012,0.40329218106995884
AR-02,2012,2012,0.4395491803278689
AR-02,2008,2012,0.45158002038735984
AR-03,2012,2012,0.32543769309989706
AR-03,2008,2012,0.3473360655737705
AR-04,2012,2012,0.36745138178096215
AR-04,2008,2012,0.38437821171634123
AZ-01,2012,2012,0.4872838250254323
AZ-01,2008,2012,0.4838056680161943
AZ-02,2012,2012,0.4923702950152594
AZ-02,2008,2012,0.4954407294832827
AZ-03,2012,2012,0.624618514750763
AZ-03,2008,2012,0.5884732052578362
AZ-04,2012,2012,0.31568228105906315
AZ-04,2008,2012,0.3488843813387424
AZ-05,2012,2012,0.3516260162601626
AZ-05,2008,2012,0.3670374115267947
AZ-06,2012,2012,0.3947100712105798
AZ-06,2008,2012,0.416582406471183
AZ-07,2012,2012,0.730142566191446
AZ-07,2008,2012,0.6548582995951416
AZ-08,2012,2012,0.37423935091277893
AZ-08,2008,2012,0.3878787878787879
AZ-09,2012,2012,0.5230296827021494
AZ-09,2008,2012,0.5197568389057751
CA-01,2012,2012,0.4158926728586171
CA-01,2008,2012,0.4421052631578947
CA-02,2012,2012,0.71875
CA-02,2008,2012,0.7395833333333334
CA-03,2012,2012,0.5574948665297741
CA-03,2008,2012,0.5670103092783505
CA-04,2012,2012,0.4055441478439425
CA-04,2008,2012,0.44329896907216493
CA-05,2012,2012,0.7170781893004116
CA-05,2008,2012,0.7291666666666666
CA-06,2012,2012,0.7094455852156057
CA-06,2008,2012,0.7010309278350515
CA-07,2012,2012,0.5204918032786885
CA-07,2008,2012,0.5257731958762887
CA-08,2012,2012,0.42857142857142855
CA-08,2008,2012,0.4329896907216495
CA-09,2012,2012,0.5903983656792645
CA-09,2008,2012,0.5773195876288659
CA-10,2012,2012,0.5184426229508197
CA-10,2008,2012,0.5154639175257731
CA-11,2012,2012,0.6926229508196721
CA-11,2008,2012,0.711340206185567
CA-12,2012,2012,0.87060041407867494
CA-12,2008,2012,0.865979381443299
CA-13,2012,2012,0.9067357512953368
CA-13,2008,2012,0.8969072164948454
CA-14,2012,2012,0.7586912065439673
CA-14,2008,2012,0.7525773195876289
CA-15,2012,2012,0.6952965235173825
CA-15,2008,2012,0.6907216494845361
