cycle,state_name,vap,vep,ballots_counted,votes_highest_office
2014,Alabama,3738721,3588783,1191274,1180413
2014,Alaska,550837,520562,285431,282382
2014,Arizona,5119512,4510186,1537671,1506416
2014,Arkansas,2262057,2117881,852642,848592
2014,California,29677092,24440416,7513972,7317581
2014,Colorado,4127123,3800664,2080071,2041020
2014,Connecticut,2828562,2577311,1096556,1089880
2014,Delaware,733971,681526,238110,234038
2014,District of Columbia,548623,495899,177176,175071
2014,Florida,15945404,13914216,6026802,5951561
2014,Georgia,7629263,6725041,2596947,2567761
2014,Hawaii,1112282,1012123,369554,366125
2014,Idaho,1205335,1119882,445307,439830
2014,Illinois,9895610,9028752,3680417,3627690
2014,Indiana,5018794,4829510,1387622,1341814
2014,Iowa,2381863,2269179,1142284,1129700
2014,Kansas,2180860,2048164,887023,869502
2014,Kentucky,3400898,3247300,1459409,1435868
2014,Louisiana,3541411,3349433,1503975,1472039
2014,Maine,1070535,1051557,616996,611255
2014,Maryland,4631815,4154546,1745104,1733177
2014,Massachusetts,5381878,4896296,2186789,2158326
2014,Michigan,7696494,7383958,3188956,3156531
2014,Minnesota,4179744,3935121,1992613,1981511
2014,Mississippi,2258047,2181131,NA,631858
2014,Missouri,4670553,4493722,1509025,1426303
2014,Montana,797527,787748,373831,369826
2014,Nebraska,1416500,1334453,552115,539891
2014,Nevada,2184884,1867644,552546,547349
2014,New Hampshire,1063539,1025862,495565,488159
2014,New Jersey,6940888,6014127,1955042,1869535
2014,New Mexico,1582259,1449503,NA,512805
2014,New York,15569463,13553426,3930310,3819010
2014,North Carolina,7689105,7143737,2939767,2915281
2014,North Dakota,573831,567221,255128,248670
2014,Ohio,8961449,8701243,3149876,3055913
2014,Oklahoma,2928877,2755091,825607,824831
2014,Oregon,3118999,2887517,1541782,1469717
2014,Pennsylvania,10092331,9689491,3535576,3495866
2014,Rhode Island,843570,776286,329212,324055
2014,South Carolina,3761320,3584461,1261611,1246301
2014,South Dakota,640622,630989,282291,279412
2014,Tennessee,5061583,4799476,1430117,1374065
2014,Texas,19958733,16675420,NA,4727208
2014,Utah,2048506,1905801,577973,565970
2014,Vermont,504186,495884,202445,193087
2014,Virginia,6467462,5962456,2194346,2184473
2014,Washington,5479396,4928407,2124330,2029189
2014,West Virginia,1465232,1447652,462864,451498
2014,Wisconsin,4454970,4260427,2422248,2410314
2014,Wyoming,445626,431434,171153,168390
