cycle,state_name,vap,vep,ballots_counted,votes_highest_office
2000,Alabama,3334576,3241682,NA,1672551
2000,Alaska,440296,419111,287825,285560
2000,Arizona,3816498,3357701,1559520,1532016
2000,Arkansas,2001774,1925961,NA,921781
2000,California,24867252,19685258,11142843,10965849
2000,Colorado,3246521,3026316,NA,1741368
2000,Connecticut,2575243,2357687,1474103,1459525
2000,Delaware,594256,554863,NA,327529
2000,District of Columbia,458301,416696,NA,201355
2000,Florida,12475387,10667193,6138765,5963110
2000,Georgia,6087332,5639668,2684951,2583208
2000,Hawaii,923737,832642,371113,367951
2000,Idaho,935443,877406,516647,501615
2000,Illinois,9208908,8432600,4932192,4742123
2000,Indiana,4527523,4424909,2246003,2182295
2000,Iowa,2199529,2082950,NA,1315563
2000,Kansas,1983933,1927950,1092716,1072216
2000,Kentucky,3059582,2955628,1568058,1544107
2000,Louisiana,3260060,3130267,1776133,1765656
2000,Maine,979314,969292,NA,651817
2000,Maryland,3972224,3649631,2036455,2025480
2000,Massachusetts,4870470,4517052,2736006,2704984
2000,Michigan,7370524,7070702,4279299,4232501
2000,Minnesota,3662005,3506432,2458303,2438657
2000,Mississippi,2076861,2024650,NA,994184
2000,Missouri,4190073,4052255,NA,2359892
2000,Montana,676065,667525,417916,410986
2000,Nebraska,1266496,1224178,707223,696983
2000,Nevada,1523209,1346116,613360,608970
2000,New Hampshire,934176,890622,578656,569081
2000,New Jersey,6356954,5601788,3293378,3187226
2000,New Mexico,1318129,1234088,615607,598605
2000,New York,14344348,12380208,6960215,6821999
2000,North Carolina,6143214,5744241,3015964,2911262
2000,North Dakota,482078,477968,292249,288256
2000,Ohio,8487355,8295592,4795989,4705457
2000,Oklahoma,2568304,2475220,NA,1234229
2000,Oregon,2595354,2364402,1559215,1533968
2000,Pennsylvania,9375146,9086897,NA,4912185
2000,Rhode Island,804417,753877,412074,408783
2000,South Carolina,3025380,2944326,1433533,1382717
2000,South Dakota,554875,548498,322159,316269
2000,Tennessee,4316391,4162996,2100241,2076181
2000,Texas,15138468,13033081,6407637,6407037
2000,Utah,1534950,1431668,784582,770754
2000,Vermont,463503,459174,297146,294308
2000,Virginia,5389008,5069265,2789808,2739447
2000,Washington,4419907,4098044,2517028,2487433
2000,West Virginia,1405021,1390365,NA,648124
2000,Wisconsin,4016401,3842044,NA,2598607
2000,Wyoming,366639,361078,221685,213726
2002,Alabama,3371451,3285643,NA,1364602
2002,Alaska,457154,427337,232852,231484
2002,Arizona,3998148,3419481,1255615,1226111
2002,Arkansas,2031787,1951568,814176,805696
2002,California,25622609,20733192,7738821,7476351
2002,Colorado,3362098,3056465,1424029,1416093
2002,Connecticut,2617814,2418037,1090756,1022942
2002,Delaware,612919,564938,NA,232314
2002,District of Columbia,458631,412062,NA,124228
2002,Florida,13005435,11194391,5143674,5100581
2002,Georgia,6287215,5731983,NA,2031604
2002,Hawaii,950520,872992,385462,382110
2002,Idaho,970916,921256,416533,411477
2002,Illinois,9302571,8540965,3651808,3538883
2002,Indiana,4587747,4494191,NA,1521353
2002,Iowa,2214936,2136683,1040201,1023075
2002,Kansas,2007407,1897261,851966,835692
2002,Kentucky,3100972,3044267,NA,1131313
2002,Louisiana,3312330,3163663,1267225,1246333
2002,Maine,1001796,995056,NA,505190
2002,Maryland,4082694,3678346,1721626,1704560
2002,Massachusetts,4919958,4458820,2220301,2194189
2002,Michigan,7445335,7147888,3219864,3177565
2002,Minnesota,3745577,3518184,NA,2254639
2002,Mississippi,2099698,2047426,NA,615609
2002,Missouri,4262146,4116889,NA,1877620
2002,Montana,690652,684572,340272,331321
2002,Nebraska,1285024,1204512,NA,480991
2002,Nevada,1640679,1391100,512433,504079
2002,New Hampshire,960401,930362,453078,447135
2002,New Jersey,6448445,5549726,2161105,2112604
2002,New Mexico,1360130,1255086,502230,484229
2002,New York,14504792,12679865,4690968,4579078
2002,North Carolina,6314679,5876705,NA,2331181
2002,North Dakota,486797,476251,237224,231030
2002,Ohio,8556557,8322521,3356285,3228992
2002,Oklahoma,2610016,2513143,NA,1035620
2002,Oregon,2674581,2495739,1293756,1267221
2002,Pennsylvania,9454338,9143001,NA,3545431
2002,Rhode Island,819310,741776,337027,331834
2002,South Carolina,3100548,2982810,NA,1102010
2002,South Dakota,564305,556154,340407,337497
2002,Tennessee,4393757,4151834,NA,1644741
2002,Texas,15718593,13181016,4552059,4514012
2002,Utah,1601707,1504529,568290,557153
2002,Vermont,472402,471403,232993,230161
2002,Virginia,5536511,5138270,1661915,1489422
2002,Washington,4553733,4162032,1808720,1739116
2002,West Virginia,1413580,1398124,440156,436183
2002,Wisconsin,4094028,3908088,NA,1775349
2002,Wyoming,376121,370488,188028,185459
2004,Alabama,3427542,3292608,1890317,1883415
2004,Alaska,476378,452124,314502,312598
2004,Arizona,4215706,3717055,2038069,2012585
2004,Arkansas,2072986,1969208,1070573,1054945
2004,California,26246548,21132533,12589367,12421852
2004,Colorado,3443164,3192647,2148036,2129630
2004,Connecticut,2652587,2429634,1607808,1578769
2004,Delaware,635370,584817,377407,375190
2004,District of Columbia,458758,419142,230105,227586
2004,Florida,13643828,11811921,7640319,7609810
2004,Georgia,6499325,5878186,3317336,3301875
2004,Hawaii,982882,889540,431662,429013
2004,Idaho,1016255,946160,612786,598376
2004,Illinois,9391420,8576696,5350493,5274322
2004,Indiana,4660157,4504260,2512142,2468002
2004,Iowa,2239979,2156389,1521966,1506908
2004,Kansas,2032763,1928764,1213108,1187756
2004,Kentucky,3157464,3057741,1816867,1795860
2004,Louisiana,3379937,3182762,1956590,1943106
2004,Maine,1022043,1003792,751519,740752
2004,Maryland,4179376,3797264,2395791,2386705
2004,Massachusetts,4935787,4533859,2927455,2912388
2004,Michigan,7508568,7263024,4875692,4839252
2004,Minnesota,3819020,3609185,2842912,2828387
2004,Mississippi,2133681,2068766,NA,1152365
2004,Missouri,4339414,4180960,2764635,2731364
2004,Montana,711858,699114,456096,450445
2004,Nebraska,1305430,1236522,792906,778186
2004,Nevada,1776962,1501437,831563,829587
2004,New Hampshire,984422,956422,683672,677738
2004,New Jersey,6513394,5663201,3638153,3611691
2004,New Mexico,1411419,1282767,775301,756304
2004,New York,14598898,12738056,7448266,7391249
2004,North Carolina,6505150,6055771,3552449,3501007
2004,North Dakota,496479,482722,316049,312833
2004,Ohio,8624277,8427696,5722443,5627908
2004,Oklahoma,2649994,2510823,NA,1463758
2004,Oregon,2736472,2550887,1851671,1836782
2004,Pennsylvania,9554349,9221962,NA,5769590
2004,Rhode Island,827513,747046,440228,437134
2004,South Carolina,3198733,3055098,1626720,1617730
2004,South Dakota,576472,569161,394930,388215
2004,Tennessee,4496929,4328446,2456610,2437319
2004,Texas,16284659,13796256,NA,7410765
2004,Utah,1664066,1574463,942010,927844
2004,Vermont,480053,470754,314220,312309
2004,Virginia,5699175,5277156,3223156,3198367
2004,Washington,4683829,4272914,2883499,2859084
2004,West Virginia,1425689,1396545,769645,755887
2004,Wisconsin,4172068,4006948,3016288,2997007
2004,Wyoming,386796,370785,245789,243428
2006,Alabama,3513952,3338467,NA,1250401
2006,Alaska,492452,465169,238307,237322
2006,Arizona,4490327,3923786,1553032,1526782
2006,Arkansas,2130080,2004193,780409,774680
2006,California,26739781,21582217,8899059,8679416
2006,Colorado,3569901,3297308,1586105,1558405
2006,Connecticut,2683538,2437559,1162391,1134780
2006,Delaware,659410,601341,258053,254099
2006,District of Columbia,466827,426612,122356,120620
2006,Florida,14211669,12187858,4884544,4829270
2006,Georgia,6799654,6115331,2143845,2122258
2006,Hawaii,1012975,908925,348988,344315
2006,Idaho,1072895,993010,458927,450832
2006,Illinois,9483856,8667453,3586292,3486671
2006,Indiana,4743856,4559294,1719351,1666922
2006,Iowa,2267991,2178322,1071509,1048033
2006,Kansas,2062668,1948850,864083,849700
2006,Kentucky,3218000,3100828,1370062,1253526
2006,Louisiana,3239317,3043573,954896,902498
2006,Maine,1037200,1016287,NA,550865
2006,Maryland,4261205,3833349,1809237,1788316
2006,Massachusetts,4970780,4552794,2243835,2219779
2006,Michigan,7532918,7292624,3852008,3801256
2006,Minnesota,3896561,3667707,2217552,2202987
2006,Mississippi,2154112,2077420,NA,610921
2006,Missouri,4427266,4253541,2178278,2128459
2006,Montana,734669,720447,411061,406505
2006,Nebraska,1325932,1251027,610499,596087
2006,Nevada,1907976,1579222,586274,582572
2006,New Hampshire,1006234,975281,418550,403531
2006,New Jersey,6565183,5701033,2315643,2250070
2006,New Mexico,1464560,1320285,568597,561084
2006,New York,14665626,12878632,4703830,4490053
2006,North Carolina,6799585,6264630,2036451,1940808
2006,North Dakota,503647,486142,220479,218152
2006,Ohio,8687609,8461211,4184072,4022754
2006,Oklahoma,2709819,2547224,NA,926462
2006,Oregon,2829482,2628937,1399650,1379475
2006,Pennsylvania,9680466,9283762,NA,4096077
2006,Rhode Island,824887,754219,392882,384993
2006,South Carolina,3332190,3152046,1117311,1091952
2006,South Dakota,589178,580592,341105,335508
2006,Tennessee,4641909,4433921,1868363,1833695
2006,Texas,17029802,14255313,NA,4399068
2006,Utah,1752158,1664323,582561,571252
2006,Vermont,487141,478247,263025,262726
2006,Virginia,5867219,5385522,2398589,2370445
2006,Washington,4861001,4403981,2085074,2083734
2006,West Virginia,1439052,1401490,473014,459884
2006,Wisconsin,4240696,4064432,2183155,2161700
2006,Wyoming,400187,379127,196217,193892
2008,Alabama,3595708,3454510,2105622,2099819
2008,Alaska,507645,479429,327341,326197
2008,Arizona,4673718,4046075,2320851,2293475
2008,Arkansas,2174846,2071563,1095958,1086617
2008,California,27411094,22261504,13743177,13561900
2008,Colorado,3708955,3382959,2422236,2401361
2008,Connecticut,2725917,2471082,NA,1646792
2008,Delaware,680493,628200,413562,412398
2008,District of Columbia,481971,432566,266871,265853
2008,Florida,14558436,12687407,8453743,8390744
2008,Georgia,7063638,6281872,3940705,3924440
2008,Hawaii,1036088,930067,456064,453568
2008,Idaho,1117842,1029416,667506,655032
2008,Illinois,9615700,8681138,5578195,5523051
2008,Indiana,4826231,4653019,2805986,2751054
2008,Iowa,2298515,2216094,1543662,1537123
2008,Kansas,2100084,1991759,1264208,1235872
2008,Kentucky,3277617,3152629,1858578,1826508
2008,Louisiana,3342279,3205794,1979852,1960761
2008,Maine,1049816,1036242,744456,731163
2008,Maryland,4342850,3925117,2661905,2631596
2008,Massachusetts,5058035,4612550,3102995,3080985
2008,Michigan,7528460,7229512,5039080,5001766
2008,Minnesota,3975974,3740142,2921147,2910369
2008,Mississippi,2190402,2113347,NA,1289856
2008,Missouri,4507688,4327572,2950504,2925205
2008,Montana,755384,741853,497599,491960
2008,Nebraska,1348048,1274719,811923,801281
2008,Nevada,2000277,1696831,970019,967848
2008,New Hampshire,1021787,992226,719643,710970
2008,New Jersey,6651284,5776527,3910220,3868237
2008,New Mexico,1505830,1362629,833365,830158
2008,New York,14876971,12948969,7721718,7640640
2008,North Carolina,7096503,6584302,4354571,4310789
2008,North Dakota,512768,504762,321133,316621
2008,Ohio,8757453,8513079,5773777,5698260
2008,Oklahoma,2770219,2619121,1474694,1462661
2008,Oregon,2916246,2700327,1845251,1827864
2008,Pennsylvania,9813664,9457942,6071357,6012692
2008,Rhode Island,825786,763608,475428,471766
2008,South Carolina,3473488,3311044,1927153,1920969
2008,South Dakota,602539,590720,387449,381975
2008,Tennessee,4771926,4563192,2618238,2599749
2008,Texas,17756112,14929810,NA,8077795
2008,Utah,1840087,1700286,971185,952370
2008,Vermont,492610,482677,326822,325046
2008,Virginia,6022123,5555415,3753059,3723260
2008,Washington,5032960,4561163,3071587,3036878
2008,West Virginia,1453045,1430439,731691,713362
2008,Wisconsin,4306876,4120694,2997086,2983417
2008,Wyoming,418040,405732,256035,254658
2010,Alabama,3661784,3472582,1503232,1494273
2010,Alaska,528744,493764,261128,256192
2010,Arizona,4807398,4209544,1750840,1727791
2010,Arkansas,2216171,2081156,789773,781333
2010,California,28167234,22946053,10529134,10095485
2010,Colorado,3843619,3533054,1828323,1787730
2010,Connecticut,2765843,2512981,1153872,1153115
2010,Delaware,696940,646969,316754,307402
2010,District of Columbia,506765,458619,135846,132656
2010,Florida,14916066,12961184,5473787,5411106
2010,Georgia,7255919,6464845,2623035,2576161
2010,Hawaii,1062593,959531,386302,382563
2010,Idaho,1147210,1069446,459079,452535
2010,Illinois,9735944,8798829,3792770,3729989
2010,Indiana,4896656,4697111,1791832,1744481
2010,Iowa,2328262,2234516,1133429,1116063
2010,Kansas,2137815,2011497,857658,838790
2010,Kentucky,3332204,3198093,1417995,1356468
2010,Louisiana,3438247,3249524,1298649,1264994
2010,Maine,1055605,1038201,580584,572766
2010,Maryland,4449617,4001034,1868179,1857880
2010,Massachusetts,5152976,4693670,2319963,2297039
2010,Michigan,7555742,7245281,3268217,3226088
2010,Minnesota,4041199,3802677,2123369,2107021
2010,Mississippi,2220094,2129334,NA,788549
2010,Missouri,4581260,4366435,1997271,1943899
2010,Montana,770601,758653,367096,360341
2010,Nebraska,1375023,1301483,503514,487988
2010,Nevada,2046400,1747288,723515,721404
2010,New Hampshire,1033023,999918,461423,456588
2010,New Jersey,6750869,5834037,2200974,2121584
2010,New Mexico,1552212,1408872,630013,602827
2010,New York,15111583,13135048,4763899,4658586
2010,North Carolina,7310093,6785463,2700706,2660079
2010,North Dakota,527497,516974,241039,238812
2010,Ohio,8826908,8571952,3956028,3852453
2010,Oklahoma,2839030,2666767,1043507,1034767
2010,Oregon,2984806,2760607,1487210,1453548
2010,Pennsylvania,9946290,9565822,4055336,3987551
2010,Rhode Island,829913,763534,346357,342290
2010,South Carolina,3571250,3388417,1365480,1344198
2010,South Dakota,616113,599507,323410,317083
2010,Tennessee,4878724,4622919,1620542,1601549
2010,Texas,18487369,15514007,5066957,4979870
2010,Utah,1914974,1772934,653274,643307
2010,Vermont,498254,488942,243617,241605
2010,Virginia,6194717,5660589,2214505,2189841
2010,Washington,5190736,4724350,2565589,2511094
2010,West Virginia,1468812,1442003,536493,529948
2010,Wisconsin,4365214,4172130,2185021,2171331
2010,Wyoming,430673,414536,190822,188463
2012,Alabama,3707440,3539217,NA,2074338
2012,Alaska,543763,511792,301694,300495
2012,Arizona,4959270,4387900,2323579,2306559
2012,Arkansas,2242740,2109847,1078548,1069468
2012,California,28913129,23681837,13202158,13038547
2012,Colorado,3981208,3675871,2596173,2569522
2012,Connecticut,2801375,2543202,1560640,1558960
2012,Delaware,715708,663967,NA,413921
2012,District of Columbia,528848,477582,294254,293764
2012,Florida,15380947,13495057,8538264,8474179
2012,Georgia,7452696,6606607,3919355,3900050
2012,Hawaii,1088335,982902,437159,434697
2012,Idaho,1173727,1091410,666290,652274
2012,Illinois,9827043,8899143,5279752,5242014
2012,Indiana,4960376,4755291,2663368,2624534
2012,Iowa,2356209,2251748,1589951,1582180
2012,Kansas,2162442,2030686,1182771,1156254
2012,Kentucky,3368684,3229185,1815843,1797212
2012,Louisiana,3495847,3311626,2014548,1994065
2012,Maine,1064779,1046008,724758,713180
2012,Maryland,4553853,4063582,2734062,2707327
2012,Massachusetts,5263550,4809675,3184196,3167767
2012,Michigan,7625576,7312725,4780701,4730961
2012,Minnesota,4114820,3861598,2950780,2936561
2012,Mississippi,2246931,2166825,NA,1285584
2012,Missouri,4628500,4432957,NA,2757323
2012,Montana,785454,774476,491966,484048
2012,Nebraska,1396507,1316915,804245,794379
2012,Nevada,2105976,1800969,1016664,1014918
2012,New Hampshire,1047978,1013420,718700,710972
2012,New Jersey,6847503,5918182,3683638,3640292
2012,New Mexico,1573400,1436363,786522,783757
2012,New York,15344671,13324107,7128852,7074723
2012,North Carolina,7496980,6947954,4542488,4505372
2012,North Dakota,549955,539164,325564,322627
2012,Ohio,8896930,8649495,5632423,5580822
2012,Oklahoma,2885093,2713268,NA,1334872
2012,Oregon,3050747,2836101,1820507,1789270
2012,Pennsylvania,10037099,9651432,NA,5742040
2012,Rhode Island,834983,768918,NA,446049
2012,South Carolina,3662322,3486838,1981516,1964118
2012,South Dakota,631472,613190,368270,363815
2012,Tennessee,4976284,4736084,2479733,2458577
2012,Texas,19185395,16119973,NA,7993851
2012,Utah,1978956,1833339,1028786,1017440
2012,Vermont,502242,493355,301793,299290
2012,Virginia,6348827,5834676,3888186,3854489
2012,Washington,5329782,4822060,3172939,3125516
2012,West Virginia,1472642,1447066,NA,670438
2012,Wisconsin,4417273,4209370,3084115,3068434
2012,Wyoming,441726,425142,250701,249061
2014,Alabama,3738721,3588783,1191274,1180413
2014,Alaska,550837,520562,285431,282382
2014,Arizona,5119512,4510186,1537671,1506416
2014,Arkansas,2262057,2117881,852642,848592
2014,California,29677092,24440416,7513972,7317581
2014,Colorado,4127123,3800664,2080071,2041020
2014,Connecticut,2828562,2577311,1096556,1089880
2014,Delaware,733971,681526,238110,234038
2014,District of Columbia,548623,495899,177176,175071
2014,Florida,15945404,13914216,6026802,5951561
2014,Georgia,7629263,6725041,2596947,2567761
2014,Hawaii,1112282,1012123,369554,366125
2014,Idaho,1205335,1119882,445307,439830
2014,Illinois,9895610,9028752,3680417,3627690
2014,Indiana,5018794,4829510,1387622,1341814
2014,Iowa,2381863,2269179,1142284,1129700
2014,Kansas,2180860,2048164,887023,869502
2014,Kentucky,3400898,3247300,1459409,1435868
2014,Louisiana,3541411,3349433,1503975,1472039
2014,Maine,1070535,1051557,616996,611255
2014,Maryland,4631815,4154546,1745104,1733177
2014,Massachusetts,5381878,4896296,2186789,2158326
2014,Michigan,7696494,7383958,3188956,3156531
2014,Minnesota,4179744,3935121,1992613,1981511
2014,Mississippi,2258047,2181131,NA,631858
2014,Missouri,4670553,4493722,1509025,1426303
2014,Montana,797527,787748,373831,369826
2014,Nebraska,1416500,1334453,552115,539891
2014,Nevada,2184884,1867644,552546,547349
2014,New Hampshire,1063539,1025862,495565,488159
2014,New Jersey,6940888,6014127,1955042,1869535
2014,New Mexico,1582259,1449503,NA,512805
2014,New York,15569463,13553426,3930310,3819010
2014,North Carolina,7689105,7143737,2939767,2915281
2014,North Dakota,573831,567221,255128,248670
2014,Ohio,8961449,8701243,3149876,3055913
2014,Oklahoma,2928877,2755091,825607,824831
2014,Oregon,3118999,2887517,1541782,1469717
2014,Pennsylvania,10092331,9689491,3535576,3495866
2014,Rhode Island,843570,776286,329212,324055
2014,South Carolina,3761320,3584461,1261611,1246301
2014,South Dakota,640622,630989,282291,279412
2014,Tennessee,5061583,4799476,1430117,1374065
2014,Texas,19958733,16675420,NA,4727208
2014,Utah,2048506,1905801,577973,565970
2014,Vermont,504186,495884,202445,193087
2014,Virginia,6467462,5962456,2194346,2184473
2014,Washington,5479396,4928407,2124330,2029189
2014,West Virginia,1465232,1447652,462864,451498
2014,Wisconsin,4454970,4260427,2422248,2410314
2014,Wyoming,445626,431434,171153,168390
2016,Alabama,3770142,3609447,2134061,2123372
2016,Alaska,555367,522679,321271,318608
2016,Arizona,5331034,4740310,2661497,2604657
2016,Arkansas,2286625,2140097,1137772,1130635
2016,California,30201571,25104844,14610509,14181595
2016,Colorado,4305728,3974405,2859216,2780247
2016,Connecticut,2821935,2582761,1675955,1644920
2016,Delaware,749872,691720,445228,443814
2016,District of Columbia,562329,515248,312575,311268
2016,Florida,16565588,14601066,9580489,9420039
2016,Georgia,7828207,6959963,4165405,4114732
2016,Hawaii,1120465,1012860,437664,428937
2016,Idaho,1253925,1166706,710545,690255
2016,Illinois,9866799,8985443,5666118,5589631
2016,Indiana,5063393,4849937,2807676,2734958
2016,Iowa,2406915,2288536,1581371,1566031
2016,Kansas,2192423,2054025,1225667,1184402
2016,Kentucky,3430652,3282420,1955195,1924149
2016,Louisiana,3571652,3384435,2049531,2029032
2016,Maine,1078037,1058372,771892,747927
2016,Maryland,4670900,4189616,2807322,2781446
2016,Massachusetts,5442458,4948028,3378801,3325046
2016,Michigan,7744567,7420628,4874619,4799284
2016,Minnesota,4240423,3973204,2968281,2944813
2016,Mississippi,2268089,2191241,NA,1209357
2016,Missouri,4710784,4517925,2811549,2808605
2016,Montana,817702,804250,516901,497147
2016,Nebraska,1436437,1343821,860573,844227
2016,Nevada,2276281,1961587,1125429,1125385
2016,New Hampshire,1076739,1042795,755850,744296
2016,New Jersey,6959892,6013656,3957303,3874046
2016,New Mexico,1591069,1464515,804043,798319
2016,New York,15557982,13604645,7786881,7721453
2016,North Carolina,7880013,7352501,4769640,4741564
2016,North Dakota,581188,566783,349945,344360
2016,Ohio,9007953,8736808,5607641,5496487
2016,Oklahoma,2965905,2778219,NA,1452992
2016,Oregon,3244277,3024174,2056310,2001336
2016,Pennsylvania,10108486,9691160,NA,6165478
2016,Rhode Island,848975,786012,469589,464144
2016,South Carolina,3883145,3709283,2123584,2103027
2016,South Dakota,653841,631173,378995,370093
2016,Tennessee,5164969,4909426,2545271,2508027
2016,Texas,20671564,17448910,8975000,8969226
2016,Utah,2144784,1991885,1152369,1131430
2016,Vermont,506048,494871,320467,315067
2016,Virginia,6551390,6027152,NA,3984631
2016,Washington,5691833,5123020,3363440,3317019
2016,West Virginia,1453201,1423031,NA,714423
2016,Wisconsin,4495783,4285071,NA,2976150
2016,Wyoming,446396,429682,258788,255849
2018,Alabama,3820544,3666511,1721906,1719589
2018,Alaska,551451,519913,285009,283134
2018,Arizona,5678479,5082126,2409910,2384308
2018,Arkansas,2321029,2176226,898793,891509
2018,California,30659000,25782389,12712542,12464235
2018,Colorado,4523289,4210816,2583580,2525062
2018,Connecticut,2838275,2597134,1421953,1406803
2018,Delaware,772850,713781,365467,362592
2018,District of Columbia,578702,529560,231482,224658
2018,Florida,17321691,15333067,8318824,8220561
2018,Georgia,8148933,7303056,3949905,3939328
2018,Hawaii,1115620,1009561,398657,390843
2018,Idaho,1350319,1260630,612536,605131
2018,Illinois,9848647,8999121,4635541,4570842
2018,Indiana,5176820,4960307,2308258,2282565
2018,Iowa,2431107,2303627,1334279,1327638
2018,Kansas,2215608,2076345,1060000,1055566
2018,Kentucky,3468416,3310636,1612353,1569798
2018,Louisiana,3560271,3367670,1519405,1460585
2018,Maine,1097650,1078321,646013,634409
2018,Maryland,4715595,4311082,2335128,2304512
2018,Massachusetts,5546390,5037366,2752665,2707090
2018,Michigan,7849909,7519962,4341340,4250585
2018,Minnesota,4347041,4070605,2611365,2596879
2018,Mississippi,2278027,2193563,961025,936215
2018,Missouri,4773831,4583152,2442306,2442289
2018,Montana,843058,830480,509213,504384
2018,Nebraska,1461220,1372894,706652,698417
2018,Nevada,2403374,2099842,975980,972132
2018,New Hampshire,1107322,1075753,580568,573608
2018,New Jersey,6945711,6074050,3248642,3169310
2018,New Mexico,1624253,1498900,701654,696459
2018,New York,15412110,13620990,6230959,6104477
2018,North Carolina,8222687,7663854,3755778,3693104
2018,North Dakota,582571,562854,330598,326138
2018,Ohio,9119467,8832187,4496834,4429582
2018,Oklahoma,3011498,2828577,1190000,1186385
2018,Oregon,3364847,3126630,1914923,1866997
