cycle,state_name,vap,vep,ballots_counted,votes_highest_office
2002,Alabama,3371451,3285643,NA,1364602
2002,Alaska,457154,427337,232852,231484
2002,Arizona,3998148,3419481,1255615,1226111
2002,Arkansas,2031787,1951568,814176,805696
2002,California,25622609,20733192,7738821,7476351
2002,Colorado,3362098,3056465,1424029,1416093
2002,Connecticut,2617814,2418037,1090756,1022942
2002,Delaware,612919,564938,NA,232314
2002,District of Columbia,458631,412062,NA,124228
2002,Florida,13005435,11194391,5143674,5100581
2002,Georgia,6287215,5731983,NA,2031604
2002,Hawaii,950520,872992,385462,382110
2002,Idaho,970916,921256,416533,411477
2002,Illinois,9302571,8540965,3651808,3538883
2002,Indiana,4587747,4494191,NA,1521353
2002,Iowa,2214936,2136683,1040201,1023075
2002,Kansas,2007407,1897261,851966,835692
2002,Kentucky,3100972,3044267,NA,1131313
2002,Louisiana,3312330,3163663,1267225,1246333
2002,Maine,1001796,995056,NA,505190
2002,Maryland,4082694,3678346,1721626,1704560
2002,Massachusetts,4919958,4458820,2220301,2194189
2002,Michigan,7445335,7147888,3219864,3177565
2002,Minnesota,3745577,3518184,NA,2254639
2002,Mississippi,2099698,2047426,NA,615609
2002,Missouri,4262146,4116889,NA,1877620
2002,Montana,690652,684572,340272,331321
2002,Nebraska,1285024,1204512,NA,480991
2002,Nevada,1640679,1391100,512433,504079
2002,New Hampshire,960401,930362,453078,447135
2002,New Jersey,6448445,5549726,2161105,2112604
2002,New Mexico,1360130,1255086,502230,484229
2002,New York,14504792,12679865,4690968,4579078
2002,North Carolina,6314679,5876705,NA,2331181
2002,North Dakota,486797,476251,237224,231030
2002,Ohio,8556557,8322521,3356285,3228992
2002,Oklahoma,2610016,2513143,NA,1035620
2002,Oregon,2674581,2495739,1293756,1267221
2002,Pennsylvania,9454338,9143001,NA,3545431
2002,Rhode Island,819310,741776,337027,331834
2002,South Carolina,3100548,2982810,NA,1102010
2002,South Dakota,564305,556154,340407,337497
2002,Tennessee,4393757,4151834,NA,1644741
2002,Texas,15718593,13181016,4552059,4514012
2002,Utah,1601707,1504529,568290,557153
2002,Vermont,472402,471403,232993,230161
2002,Virginia,5536511,5138270,1661915,1489422
2002,Washington,4553733,4162032,1808720,1739116
2002,West Virginia,1413580,1398124,440156,436183
2002,Wisconsin,4094028,3908088,NA,1775349
2002,Wyoming,376121,370488,188028,185459
